#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 1 0 MPI_File_open 0 3 1.6313e-01 2.9941e-03 1.5279e-01
ipm_noregion 2 0 MPI_File_open 0 3 1.2415e-02 2.8069e-03 6.6140e-03
ipm_noregion 0 0 MPI_File_open 0 3 1.0588e-02 2.8059e-03 4.7820e-03
ipm_noregion 3 0 MPI_File_open 0 3 1.5737e-01 1.5860e-03 1.5279e-01
ipm_noregion 2 0 MPI_Gather 536870912 1 5.5248e-01 5.5248e-01 5.5248e-01
ipm_noregion 0 0 MPI_Gather 536870912 1 1.1284e+00 1.1284e+00 1.1284e+00
ipm_noregion 1 0 MPI_Gather 536870912 1 7.2369e-01 7.2369e-01 7.2369e-01
ipm_noregion 3 0 MPI_Gather 536870912 1 7.6316e-01 7.6316e-01 7.6316e-01
ipm_noregion 3 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 2 0 MPI_Comm_rank 0 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 0 0 MPI_Comm_rank 0 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 1 0 MPI_Comm_rank 0 1 3.8147e-06 3.8147e-06 3.8147e-06
ipm_noregion 1 0 MPI_Bcast 4 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 2 0 MPI_Bcast 4 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 0 0 MPI_Bcast 4 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 3 0 MPI_Bcast 4 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 0 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 1 MPI_Sendrecv 536870912 1 1.3923e+00 1.3923e+00 1.3923e+00
ipm_noregion 3 2 MPI_Sendrecv 536870912 2 1.8795e+00 6.2259e-01 1.2569e+00
ipm_noregion 1 0 MPI_Sendrecv 536870912 2 1.2197e+00 6.0255e-01 6.1716e-01
ipm_noregion 1 3 MPI_Sendrecv 536870912 1 6.2537e-01 6.2537e-01 6.2537e-01
ipm_noregion 2 3 MPI_Sendrecv 536870912 2 1.5215e+00 6.2640e-01 8.9508e-01
ipm_noregion 2 0 MPI_Sendrecv 536870912 1 1.0745e+00 1.0745e+00 1.0745e+00
ipm_noregion 0 2 MPI_Sendrecv 536870912 1 5.9960e-01 5.9960e-01 5.9960e-01
ipm_noregion 0 1 MPI_Sendrecv 536870912 2 3.6606e+01 7.5336e-01 3.5853e+01
ipm_noregion 0 0 MPI_File_write_at 2147479552 1 1.1495e+01 1.1495e+01 1.1495e+01
ipm_noregion 3 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_File_read_at 536870912 1 1.0407e+00 1.0407e+00 1.0407e+00
ipm_noregion 1 0 MPI_File_read_at 536870912 1 1.0350e+00 1.0350e+00 1.0350e+00
ipm_noregion 2 0 MPI_File_read_at 536870912 1 1.0357e+00 1.0357e+00 1.0357e+00
ipm_noregion 0 0 MPI_File_read_at 536870912 1 1.0375e+00 1.0375e+00 1.0375e+00
ipm_noregion 1 0 MPI_File_close 0 2 1.5278e+01 6.5088e-05 1.5278e+01
ipm_noregion 2 0 MPI_File_close 0 2 1.5278e+01 7.2956e-05 1.5278e+01
ipm_noregion 0 0 MPI_File_close 0 2 5.6601e-04 5.6028e-05 5.0998e-04
ipm_noregion 3 0 MPI_File_close 0 2 1.5278e+01 5.5075e-05 1.5278e+01
ipm_noregion 3 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
