#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 3 0 MPI_File_close 0 2 1.5660e+01 9.6083e-05 1.5660e+01
ipm_noregion 4 0 MPI_File_close 0 2 1.5660e+01 9.5129e-05 1.5660e+01
ipm_noregion 15 0 MPI_File_close 0 2 1.5661e+01 6.6042e-05 1.5661e+01
ipm_noregion 2 0 MPI_File_close 0 2 1.5660e+01 9.5129e-05 1.5660e+01
ipm_noregion 13 0 MPI_File_close 0 2 1.5660e+01 7.2956e-05 1.5660e+01
ipm_noregion 0 0 MPI_File_close 0 2 2.0719e-04 8.8215e-05 1.1897e-04
ipm_noregion 11 0 MPI_File_close 0 2 1.5660e+01 1.0109e-04 1.5660e+01
ipm_noregion 8 0 MPI_File_close 0 2 1.5660e+01 9.0122e-05 1.5660e+01
ipm_noregion 1 0 MPI_File_close 0 2 1.5660e+01 1.0014e-04 1.5660e+01
ipm_noregion 7 0 MPI_File_close 0 2 1.5660e+01 9.5129e-05 1.5660e+01
ipm_noregion 9 0 MPI_File_close 0 2 1.5660e+01 9.9182e-05 1.5660e+01
ipm_noregion 14 0 MPI_File_close 0 2 1.5661e+01 8.0109e-05 1.5661e+01
ipm_noregion 5 0 MPI_File_close 0 2 1.5660e+01 9.6083e-05 1.5660e+01
ipm_noregion 12 0 MPI_File_close 0 2 1.5661e+01 7.2956e-05 1.5661e+01
ipm_noregion 10 0 MPI_File_close 0 2 1.5660e+01 8.5115e-05 1.5660e+01
ipm_noregion 6 0 MPI_File_close 0 2 1.5661e+01 8.6069e-05 1.5661e+01
ipm_noregion 9 11 MPI_Sendrecv 134217728 3 3.5426e-01 9.8448e-02 1.4005e-01
ipm_noregion 9 1 MPI_Sendrecv 134217728 1 1.1825e+00 1.1825e+00 1.1825e+00
ipm_noregion 9 8 MPI_Sendrecv 134217728 4 4.7205e-01 7.6613e-02 1.4011e-01
ipm_noregion 9 13 MPI_Sendrecv 134217728 2 6.1726e-01 2.9948e-01 3.1778e-01
ipm_noregion 7 3 MPI_Sendrecv 134217728 2 8.1478e-01 3.2175e-01 4.9303e-01
ipm_noregion 7 5 MPI_Sendrecv 134217728 3 1.0430e+00 3.1426e-01 3.7976e-01
ipm_noregion 7 15 MPI_Sendrecv 134217728 1 1.8080e-01 1.8080e-01 1.8080e-01
ipm_noregion 7 6 MPI_Sendrecv 134217728 4 4.9138e+00 9.8315e-02 4.4525e+00
ipm_noregion 1 3 MPI_Sendrecv 134217728 3 4.7745e-01 1.5305e-01 1.6642e-01
ipm_noregion 1 5 MPI_Sendrecv 134217728 2 4.7325e-01 2.0213e-01 2.7112e-01
ipm_noregion 1 9 MPI_Sendrecv 134217728 1 1.7621e-01 1.7621e-01 1.7621e-01
ipm_noregion 1 0 MPI_Sendrecv 134217728 4 7.3631e-01 1.3746e-01 2.4168e-01
ipm_noregion 8 12 MPI_Sendrecv 134217728 2 6.5248e-01 2.9658e-01 3.5590e-01
ipm_noregion 8 10 MPI_Sendrecv 134217728 3 3.3706e-01 9.9278e-02 1.3473e-01
ipm_noregion 8 9 MPI_Sendrecv 134217728 4 5.6631e+00 1.0521e-01 5.2699e+00
ipm_noregion 8 0 MPI_Sendrecv 134217728 1 1.2560e+00 1.2560e+00 1.2560e+00
ipm_noregion 6 2 MPI_Sendrecv 134217728 2 9.0511e-01 4.0223e-01 5.0288e-01
ipm_noregion 6 7 MPI_Sendrecv 134217728 4 5.7206e-01 8.8022e-02 2.5853e-01
ipm_noregion 6 4 MPI_Sendrecv 134217728 3 1.0745e+00 2.3520e-01 4.2535e-01
ipm_noregion 6 14 MPI_Sendrecv 134217728 1 1.8539e-01 1.8539e-01 1.8539e-01
ipm_noregion 12 14 MPI_Sendrecv 134217728 3 6.5592e-01 1.6120e-01 3.3170e-01
ipm_noregion 12 13 MPI_Sendrecv 134217728 4 5.1537e+00 6.5685e-02 4.8991e+00
ipm_noregion 12 8 MPI_Sendrecv 134217728 2 8.8103e-01 2.3867e-01 6.4236e-01
ipm_noregion 12 4 MPI_Sendrecv 134217728 1 1.7526e+00 1.7526e+00 1.7526e+00
ipm_noregion 10 14 MPI_Sendrecv 134217728 2 5.7352e-01 2.7520e-01 2.9832e-01
ipm_noregion 10 8 MPI_Sendrecv 134217728 3 6.8261e-01 1.6061e-01 3.2750e-01
ipm_noregion 10 2 MPI_Sendrecv 134217728 1 1.1813e+00 1.1813e+00 1.1813e+00
ipm_noregion 10 11 MPI_Sendrecv 134217728 4 4.6299e-01 7.2372e-02 1.4593e-01
ipm_noregion 5 7 MPI_Sendrecv 134217728 3 5.1231e-01 1.5661e-01 1.7795e-01
ipm_noregion 5 13 MPI_Sendrecv 134217728 1 2.4187e-01 2.4187e-01 2.4187e-01
ipm_noregion 5 1 MPI_Sendrecv 134217728 2 2.9103e-01 1.3140e-01 1.5963e-01
ipm_noregion 5 4 MPI_Sendrecv 134217728 4 7.5005e-01 1.3755e-01 2.4024e-01
ipm_noregion 14 15 MPI_Sendrecv 134217728 4 7.6524e-01 1.6084e-01 2.5215e-01
ipm_noregion 14 10 MPI_Sendrecv 134217728 2 1.0184e+00 4.6516e-01 5.5324e-01
ipm_noregion 14 12 MPI_Sendrecv 134217728 3 6.2449e-01 1.6205e-01 2.7022e-01
ipm_noregion 14 6 MPI_Sendrecv 134217728 1 1.2728e+00 1.2728e+00 1.2728e+00
ipm_noregion 2 3 MPI_Sendrecv 134217728 4 7.4672e-01 1.2112e-01 3.2523e-01
ipm_noregion 2 6 MPI_Sendrecv 134217728 2 3.3569e-01 1.6278e-01 1.7291e-01
ipm_noregion 2 0 MPI_Sendrecv 134217728 3 7.3789e-01 1.4733e-01 3.4362e-01
ipm_noregion 2 10 MPI_Sendrecv 134217728 1 1.7801e-01 1.7801e-01 1.7801e-01
ipm_noregion 15 13 MPI_Sendrecv 134217728 3 6.1892e-01 1.6157e-01 2.6659e-01
ipm_noregion 15 14 MPI_Sendrecv 134217728 4 5.3173e+00 1.5922e-01 4.7491e+00
ipm_noregion 15 11 MPI_Sendrecv 134217728 2 1.0678e+00 4.3184e-01 6.3592e-01
ipm_noregion 15 7 MPI_Sendrecv 134217728 1 1.1182e+00 1.1182e+00 1.1182e+00
ipm_noregion 4 5 MPI_Sendrecv 134217728 4 5.5758e+00 1.5042e-01 4.8787e+00
ipm_noregion 4 12 MPI_Sendrecv 134217728 1 2.4013e-01 2.4013e-01 2.4013e-01
ipm_noregion 4 6 MPI_Sendrecv 134217728 3 5.0852e-01 1.4802e-01 1.8241e-01
ipm_noregion 4 0 MPI_Sendrecv 134217728 2 3.1483e-01 1.2496e-01 1.8988e-01
ipm_noregion 3 1 MPI_Sendrecv 134217728 3 6.7719e-01 1.4589e-01 3.2713e-01
ipm_noregion 3 11 MPI_Sendrecv 134217728 1 1.9256e-01 1.9256e-01 1.9256e-01
ipm_noregion 3 7 MPI_Sendrecv 134217728 2 4.2005e-01 1.9766e-01 2.2239e-01
ipm_noregion 3 2 MPI_Sendrecv 134217728 4 5.0902e+00 1.4889e-01 4.5008e+00
ipm_noregion 11 3 MPI_Sendrecv 134217728 1 1.1174e+00 1.1174e+00 1.1174e+00
ipm_noregion 11 9 MPI_Sendrecv 134217728 3 6.6127e-01 1.9506e-01 2.4798e-01
ipm_noregion 11 10 MPI_Sendrecv 134217728 4 5.0534e+00 1.2212e-01 4.5737e+00
ipm_noregion 11 15 MPI_Sendrecv 134217728 2 5.7055e-01 2.7036e-01 3.0018e-01
ipm_noregion 0 2 MPI_Sendrecv 134217728 3 4.7151e-01 1.3633e-01 1.8007e-01
ipm_noregion 0 8 MPI_Sendrecv 134217728 1 1.6492e-01 1.6492e-01 1.6492e-01
ipm_noregion 0 1 MPI_Sendrecv 134217728 4 6.3679e+00 1.4752e-01 5.7441e+00
ipm_noregion 0 4 MPI_Sendrecv 134217728 2 4.8468e-01 1.5883e-01 3.2585e-01
ipm_noregion 13 5 MPI_Sendrecv 134217728 1 1.6557e+00 1.6557e+00 1.6557e+00
ipm_noregion 13 9 MPI_Sendrecv 134217728 2 8.6057e-01 2.7588e-01 5.8469e-01
ipm_noregion 13 12 MPI_Sendrecv 134217728 4 3.6324e-01 7.0183e-02 1.2620e-01
ipm_noregion 13 15 MPI_Sendrecv 134217728 3 7.4135e-01 1.6324e-01 4.1388e-01
ipm_noregion 0 0 MPI_Bcast 4 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 11 0 MPI_Bcast 4 1 3.8147e-06 3.8147e-06 3.8147e-06
ipm_noregion 13 0 MPI_Bcast 4 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 2 0 MPI_Bcast 4 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 15 0 MPI_Bcast 4 1 3.0994e-06 3.0994e-06 3.0994e-06
ipm_noregion 3 0 MPI_Bcast 4 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 4 0 MPI_Bcast 4 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 6 0 MPI_Bcast 4 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 12 0 MPI_Bcast 4 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 10 0 MPI_Bcast 4 1 3.8147e-06 3.8147e-06 3.8147e-06
ipm_noregion 5 0 MPI_Bcast 4 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 14 0 MPI_Bcast 4 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 9 0 MPI_Bcast 4 1 3.8147e-06 3.8147e-06 3.8147e-06
ipm_noregion 7 0 MPI_Bcast 4 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 8 0 MPI_Bcast 4 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 1 0 MPI_Bcast 4 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 0 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 13 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 15 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 12 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 14 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_File_read_at 134217728 1 8.5958e-01 8.5958e-01 8.5958e-01
ipm_noregion 0 0 MPI_File_read_at 134217728 1 9.5513e-01 9.5513e-01 9.5513e-01
ipm_noregion 13 0 MPI_File_read_at 134217728 1 3.5054e-01 3.5054e-01 3.5054e-01
ipm_noregion 15 0 MPI_File_read_at 134217728 1 2.6651e-01 2.6651e-01 2.6651e-01
ipm_noregion 2 0 MPI_File_read_at 134217728 1 9.5652e-01 9.5652e-01 9.5652e-01
ipm_noregion 4 0 MPI_File_read_at 134217728 1 9.5953e-01 9.5953e-01 9.5953e-01
ipm_noregion 3 0 MPI_File_read_at 134217728 1 9.5985e-01 9.5985e-01 9.5985e-01
ipm_noregion 6 0 MPI_File_read_at 134217728 1 8.6200e-01 8.6200e-01 8.6200e-01
ipm_noregion 10 0 MPI_File_read_at 134217728 1 8.6310e-01 8.6310e-01 8.6310e-01
ipm_noregion 12 0 MPI_File_read_at 134217728 1 3.4996e-01 3.4996e-01 3.4996e-01
ipm_noregion 5 0 MPI_File_read_at 134217728 1 9.5436e-01 9.5436e-01 9.5436e-01
ipm_noregion 14 0 MPI_File_read_at 134217728 1 2.6541e-01 2.6541e-01 2.6541e-01
ipm_noregion 9 0 MPI_File_read_at 134217728 1 8.6350e-01 8.6350e-01 8.6350e-01
ipm_noregion 7 0 MPI_File_read_at 134217728 1 8.6249e-01 8.6249e-01 8.6249e-01
ipm_noregion 1 0 MPI_File_read_at 134217728 1 9.5948e-01 9.5948e-01 9.5948e-01
